Product_category,total_revenue
SET OF 6 RIBBONS VINTAGE CHRISTMAS,7953.57
3 HEARTS HANGING DECORATION RUSTIC,7941.96
BOX OF 6 MINI 50'S CRACKERS,7924.51
ALARM CLOCK BAKELIKE ORANGE,7868.49
RED METAL BOX TOP SECRET,7830.03
SET OF 72 RETROSPOT PAPER  DOILIES,7769.37
REVOLVER WOODEN RULER,7762.74
TRAVEL SEWING KIT,7754.36
SET/10 RED POLKADOT PARTY CANDLES,7734.18
SWEETHEART CAKESTAND 3 TIER,7723.6
GRAND CHOCOLATECANDLE,7722.7
RECIPE BOX RETROSPOT,7671.5
JUMBO BAG TOYS,7648.97
SET OF 3 HEART COOKIE CUTTERS,7629.34
CHILDRENS CUTLERY SPACEBOY,7628.08
FELTCRAFT CHRISTMAS FAIRY,7580.68
HAND WARMER RED LOVE HEART,7574.1
ZINC FOLKART SLEIGH BELLS,7510.14
SET 6 SCHOOL MILK BOTTLES IN CRATE,7465.65
PAINTED METAL PEARS ASSORTED,7439.01
BLUE DINER WALL CLOCK,7360.63
PICNIC BASKET WICKER SMALL,7343.6
PLASTERS IN TIN VINTAGE PAISLEY,7287.29
FAMILY PHOTO FRAME CORNICE,7281.59
OPEN CLOSED METAL SIGN,7266.81
60 CAKE CASES VINTAGE CHRISTMAS,7264.8
PACK OF 12 LONDON TISSUES,7253.61
FELTCRAFT BUTTERFLY HEARTS,7205.1
WOODLAND CHARLOTTE BAG,7174.54
WOODEN BOX OF DOMINOES,7168.45
SET 2 TEA TOWELS I LOVE LONDON,7165.55
CHOCOLATE THIS WAY METAL SIGN,7149.72
SMALL GLASS HEART TRINKET POT,7129.81
PACK OF 6 BIRDY GIFT TAGS,7079.7
FELTCRAFT PRINCESS LOLA DOLL,7073.19
3 TIER CAKE TIN RED AND CREAM,7066.18
ZINC METAL HEART DECORATION,7056.18
SET OF 4 KNICK KNACK TINS LONDON,7051.05
SET OF 4 KNICK KNACK TINS DOILEY,7037.65
CHRISTMAS CRAFT LITTLE FRIENDS,7016.8
CHARLOTTE BAG SUKI DESIGN,7001.26
SWEETHEART RECIPE BOOK STAND,6999.45
FUNKY DIVA PEN,6967.59
CREAM CUPID HEARTS COAT HANGER,6958.73
SPACEBOY BABY GIFT SET,6946.85
RED SPOTTY BISCUIT TIN,6905.95
GIANT 50'S CHRISTMAS CRACKER,6869.95
PACK OF 72 SKULL CAKE CASES,6829.06
HANGING HEART ZINC T-LIGHT HOLDER,6788.29
CLEAR DRAWER KNOB ACRYLIC EDWARDIAN,6765.67
SILVER HANGING T-LIGHT HOLDER,6761.1
JINGLE BELL HEART ANTIQUE SILVER,6741
TEA TIME PARTY BUNTING,6737.45
SMALL WHITE HEART OF WICKER,6733.75
VINTAGE DOILY TRAVEL SEWING KIT,6724.8
YOU'RE CONFUSING ME METAL SIGN,6714.76
SWEETHEART CERAMIC TRINKET BOX,6676.53
DOORMAT 3 SMILEY CATS,6674.9
LUNCH BOX WITH CUTLERY RETROSPOT,6664.24
CARRIAGE,6636
SET 40 HEART SHAPE PETIT FOUR CASES,6634.1
RETROSPOT PARTY BAG + STICKER SET,6633.73
SET OF 3 BUTTERFLY COOKIE CUTTERS,6627.25
DOORMAT UNION JACK GUNS AND ROSES,6619.41
36 DOILIES VINTAGE CHRISTMAS,6592.6
TRIPLE PHOTO FRAME CORNICE,6584.58
CHILDRENS CUTLERY POLKADOT GREEN,6549.11
RAIN PONCHO RETROSPOT,6542.08
WHITE WOOD GARDEN PLANT LADDER,6536.06
HEART FILIGREE DOVE  SMALL,6532.32
VINTAGE CREAM DOG FOOD CONTAINER,6526.05
SET 6 PAPER TABLE LANTERN STARS,6521.71
CHILDRENS APRON SPACEBOY DESIGN,6492.54
NATURAL SLATE CHALKBOARD LARGE,6486.6
MINT KITCHEN SCALES,6457.08
CHILDRENS CUTLERY DOLLY GIRL,6442.55
SET OF 12 FAIRY CAKE BAKING CASES,6430.44
ROUND CAKE TIN VINTAGE RED,6418.88
DOLLY GIRL BABY GIFT SET,6415.4
LARGE ZINC HEART WALL ORGANISER,6414.48
VINTAGE RED KITCHEN CABINET,6394.5
BEWARE OF THE CAT METAL SIGN,6381.65
ALARM CLOCK BAKELIKE CHOCOLATE,6379.26
ROSE COTTAGE KEEPSAKE BOX,6376.15
VICTORIAN SEWING BOX SMALL,6333.96
BLACK/BLUE POLKADOT UMBRELLA,6326.29
SET OF 20 VINTAGE CHRISTMAS NAPKINS,6325.72
PLASTERS IN TIN SKULLS,6322.65
SET/10 PINK POLKADOT PARTY CANDLES,6284.83
CHILDS BREAKFAST SET SPACEBOY,6270.15
MEMO BOARD COTTAGE DESIGN,6261.64
PICTURE FRAME WOOD TRIPLE PORTRAIT,6259.5
SET/2 RED RETROSPOT TEA TOWELS,6257.01
LANDMARK FRAME CAMDEN TOWN,6244.85
RED FLORAL FELTCRAFT SHOULDER BAG,6234.9
72 SWEETHEART FAIRY CAKE CASES,6190.21
TOY TIDY PINK POLKADOT,6168.93
PIGGY BANK RETROSPOT,6162.17
BLUE STRIPE CERAMIC DRAWER KNOB,6124.39
VINTAGE DONKEY TAIL GAME,6106
BOX OF 6 CHRISTMAS CAKE DECORATIONS,6091.29
WALL ART CLASSIC PUDDINGS,6076.99
RED STRIPE CERAMIC DRAWER KNOB,6074.86
RETROSPOT LARGE MILK JUG,6069.75
MINI LIGHTS WOODLAND MUSHROOMS,6050.49
CIRCUS PARADE LUNCH BOX,6050.48
TEA TIME TEA TOWELS,6045
AGED GLASS SILVER T-LIGHT HOLDER,6038.35
JINGLE BELL HEART DECORATION,6009.75
METAL 4 HOOK HANGER FRENCH CHATEAU,5987.62
JUMBO BAG DOLLY GIRL DESIGN,5984.88
4 TRADITIONAL SPINNING TOPS,5949.93
COFFEE MUG APPLES DESIGN,5937.7
SET OF 60 PANTRY DESIGN CAKE CASES,5925.99
SET 3 WICKER OVAL BASKETS W LIDS,5922.12
WOODEN HAPPY BIRTHDAY GARLAND,5898.35
LARGE CIRCULAR MIRROR MOBILE,5887.85
PACK OF 60 DINOSAUR CAKE CASES,5883.22
DOORSTOP RETROSPOT HEART,5836.96
SET OF 2 TEA TOWELS APPLE AND PEARS,5821.89
HAND WARMER BABUSHKA DESIGN,5812.38
PINK FAIRY CAKE CHILDRENS APRON,5811.66
CHRISTMAS LIGHTS 10 VINTAGE BAUBLES,5803.48
BROCADE RING PURSE,5796.81
3 DRAWER ANTIQUE WHITE WOOD CABINET,5787.98
DELUXE SEWING KIT,5775.32
RED RETROSPOT SMALL MILK JUG,5724
ENGLISH ROSE HOT WATER BOTTLE,5716.91
CANDLEHOLDER PINK HANGING HEART,5703.93
LOVE SEAT ANTIQUE WHITE METAL,5692.5
BINGO SET,5691.96
SOMBRERO,5691.5
UNION STRIPE WITH FRINGE  HAMMOCK,5674.14
PANTRY WASHING UP BRUSH,5668.16
WOODEN OWLS LIGHT GARLAND,5662.35
SINGLE HEART ZINC T-LIGHT HOLDER,5652.13
SET OF 6 TEA TIME BAKING CASES,5650.9
GIRAFFE WOODEN RULER,5642.64
BISCUIT TIN 50'S CHRISTMAS,5641.98
REGENCY TEA PLATE PINK,5638.98
CHARLOTTE BAG PINK POLKADOT,5636.56
CHICK GREY HOT WATER BOTTLE,5622.67
PLACE SETTING WHITE HEART,5590.23
SET OF 2 WOODEN MARKET CRATES,5576.4
QUEENS GUARD COFFEE MUG,5565.92
HOME SWEET HOME MUG,5564.24
WHITE METAL LANTERN,5554.51
SET OF 72 PINK HEART PAPER DOILIES,5546.38
VINTAGE CHRISTMAS STOCKING,5541.3
VINTAGE CHRISTMAS GIFT SACK,5518.85
RETROSPOT CHILDRENS APRON,5509.87
VINTAGE SNAKES & LADDERS,5508.53
WHITE SPOT RED CERAMIC DRAWER KNOB,5500.59
SET/6 RED SPOTTY PAPER PLATES,5496.53
CHARLOTTE BAG APPLES DESIGN,5493.81
DOORMAT TOPIARY,5485.31
LANTERN CREAM GAZEBO,5476.02
POLKADOT PEN,5475.25
STRAWBERRY CHARLOTTE BAG,5453.99
RED 3 PIECE RETROSPOT CUTLERY SET,5450.13
3 STRIPEY MICE FELTCRAFT,5439.05
SAVE THE PLANET MUG,5428.99
FELTCRAFT PRINCESS OLIVIA DOLL,5427.35
SMALL ZINC HEART WALL ORGANISER,5378.8
RED RETROSPOT PEG BAG,5364.35
CHILDS BREAKFAST SET DOLLY GIRL,5326
WALL ART BIG LOVE,5319.36
SET 2 TEA TOWELS I LOVE LONDON,5312.55
BOTANICAL GARDENS WALL CLOCK,5311.6
PINK BABY BUNTING,5258.66
LUNCH BAG PAISLEY PARK,5234.75
PARISIENNE JEWELLERY DRAWER,5219.02
BUNDLE OF 3 ALPHABET EXERCISE BOOKS,5192.22
DOG BOWL CHASING BALL DESIGN,5171.68
LARGE IVORY HEART WALL ORGANISER,5134.66
WOODEN ADVENT CALENDAR CREAM,5085.3
RED RETROSPOT SHOPPER BAG,5077.32
10 COLOUR SPACEBOY PEN,5068.92
CALENDAR PAPER CUT DESIGN,5054.94
WOODEN ADVENT CALENDAR RED,5007.85
RUSTIC  SEVENTEEN DRAWER SIDEBOARD,5000
CHRISTMAS CRAFT TREE TOP ANGEL,4998.28
3 PIECE SPACEBOY COOKIE CUTTER SET,4996.84
SET OF 5 LUCKY CAT MAGNETS,4992.52
TREASURE ISLAND BOOK BOX,4984.8
PACK OF 6 PANNETONE GIFT BOXES,4972.48
CLASSIC GLASS COOKIE JAR,4971.05
SMALL IVORY HEART WALL ORGANISER,4966.08
HEART IVORY TRELLIS LARGE,4960.78
RED RETROSPOT BOWL,4953.23
BOX OF VINTAGE JIGSAW BLOCKS,4934.47
COFFEE MUG PEARS  DESIGN,4926.7
PACK OF 20 NAPKINS PANTRY DESIGN,4920.42
PINK 3 PIECE POLKADOT CUTLERY SET,4916.65
LIGHT GARLAND BUTTERFILES PINK,4912.59
RED RETROSPOT MUG,4910.55
LANDMARK FRAME COVENT GARDEN,4899.55
BUBBLEGUM RING ASSORTED,4894.83
BLUE SPOT CERAMIC DRAWER KNOB,4874.97
"ASSORTED FLOWER COLOUR ""LEIS""",4871.45
FULL ENGLISH BREAKFAST PLATE,4871.16
WALL ART KEEP CALM,4853.5
DOORMAT RESPECTABLE HOUSE,4849.29
PHOTO FRAME 3 CLASSIC HANGING,4833.5
HOME SWEET HOME METAL SIGN,4827.02
GINGHAM HEART DECORATION,4817.33
RED SPOT CERAMIC DRAWER KNOB,4803.84
SET 3 PAPER VINTAGE CHICK PAPER EGG,4800.4
RED RETROSPOT PLATE,4796.76
SET OF 4 JAM JAR MAGNETS,4795.13
REGENCY TEA STRAINER,4789.24
WHITE SPOT BLUE CERAMIC DRAWER KNOB,4786
ENAMEL MEASURING JUG CREAM,4784.29
SET OF 3 WOODEN HEART DECORATIONS,4732.83
SET/10 BLUE POLKADOT PARTY CANDLES,4732.09
LANDMARK FRAME OXFORD STREET,4730.65
LANDMARK FRAME NOTTING HILL,4730.65
I'M ON HOLIDAY METAL SIGN,4730.05
FELTCRAFT GIRL AMELIE KIT,4720.18
3 TIER CAKE TIN GREEN AND CREAM,4715.36
WELCOME  WOODEN BLOCK LETTERS,4707.27
HEART IVORY TRELLIS SMALL,4706.28
CERAMIC STRAWBERRY CAKE MONEY BANK,4703.41
DOORMAT AIRMAIL,4693.75
RECYCLED ACAPULCO MAT TURQUOISE,4686.5
PARTY METAL SIGN,4682.17
FELTCRAFT DOLL ROSIE,4678.52
SET OF 12 MINI LOAF BAKING CASES,4659.84
BATH BUILDING BLOCK WORD,4632.63
CERAMIC CAKE STAND + HANGING CAKES,4628.13
LANDMARK FRAME LONDON BRIDGE,4604.2
HANGING METAL HEART LANTERN,4602.81
SKULL LUNCH BOX WITH CUTLERY,4599.3
SET OF 6 NATIVITY MAGNETS,4587.55
NATURAL SLATE RECTANGLE CHALKBOARD,4577.51
5 HOOK HANGER RED MAGIC TOADSTOOL,4576.95
VINTAGE CHRISTMAS TABLECLOTH,4576.02
PACK OF SIX LED TEA LIGHTS,4569.51
TRAVEL CARD WALLET KEEP CALM,4566.98
ANTIQUE GLASS DRESSING TABLE POT,4551.31
FILIGRIS HEART WITH BUTTERFLY,4536.63
PAPER BUNTING COLOURED LACE,4533.9
BISCUIT TIN VINTAGE CHRISTMAS,4521.14
SET OF 5 PANCAKE DAY MAGNETS,4510.73
TRADTIONAL ALPHABET STAMP SET,4487.4
BLUE VINTAGE SPOT BEAKER,4486.64
PINK PARTY BAGS,4469.02
ADVENT CALENDAR GINGHAM SACK,4466.78
LARGE CERAMIC TOP STORAGE JAR,4463.4
WASHROOM METAL SIGN,4456.57
FRYING PAN UNION FLAG,4444.86
COFFEE MUG CAT + BIRD DESIGN,4418.94
CHILDS BREAKFAST SET CIRCUS PARADE,4416.6
BREAD BIN DINER STYLE PINK,4404.95
CIRCUS PARADE BABY GIFT SET,4393.9
STRAWBERRY   PICNIC BAG,4383.3
PINK VINTAGE SPOT BEAKER,4383.13
BREAD BIN DINER STYLE MINT,4378.41
HEART FILIGREE DOVE LARGE,4370.67
PINK HEART SHAPE EGG FRYING PAN,4348.08
SMALL CHINESE STYLE SCISSOR,4335.76
VICTORIAN SEWING BOX LARGE,4334.48
CHRISTMAS CRAFT WHITE FAIRY,4318.99
RED RETROSPOT BUTTER DISH,4305.85
SCANDINAVIAN PAISLEY PICNIC BAG,4301.71
RED RETROSPOT WRAP,4289.24
PINK VINTAGE PAISLEY PICNIC BAG,4284.31
HOT WATER BOTTLE BABUSHKA,4279.7
ABC TREASURE BOOK BOX,4272.01
VINYL RECORD FRAME SILVER,4249.69
PANTRY MAGNETIC  SHOPPING LIST,4248.39
GREEN VINTAGE SPOT BEAKER,4246.72
PLAYING CARDS KEEP CALM & CARRY ON,4240.46
CUPCAKE LACE PAPER SET 6,4238.33
PICTURE DOMINOES,4235.59
CAMOUFLAGE LED TORCH,4227.42
LAUNDRY 15C METAL SIGN,4224.52
BLUE 3 PIECE POLKADOT CUTLERY SET,4213.34
WALL ART ONLY ONE PERSON,4211.55
SET OF 3 HANGING OWLS OLLIE BEAK,4195.76
WOODEN SKITTLES GARDEN SET,4186.6
EDWARDIAN PARASOL PINK,4184.06
SPACEBOY MINI BACKPACK,4126.2
SET3 BOOK BOX GREEN GINGHAM FLOWER,4123.05
RIBBON REEL STRIPES DESIGN,4121.33
VINTAGE CREAM CAT FOOD CONTAINER,4113.64
PACK OF 60 SPACEBOY CAKE CASES,4103.09
CHILDRENS APRON APPLES DESIGN,4097.45
BLACK KITCHEN SCALES,4057.53
SET OF 36 TEATIME PAPER DOILIES,4054.03
TREASURE TIN GYMKHANA DESIGN,4045.44
36 PENCILS TUBE RED RETROSPOT,4027.26
12 PENCILS SMALL TUBE RED RETROSPOT,4018.65
FOOT STOOL HOME SWEET HOME,4010.2
CHARLOTTE BAG DOLLY GIRL DESIGN,4000.4
SET/6 RED SPOTTY PAPER CUPS,3999.09
PHOTO CUBE,3997.91
ANTIQUE SILVER TEA GLASS ETCHED,3993
POTTERING MUG,3990.71
DOORMAT MERRY CHRISTMAS RED,3986.44
CHILDREN'S APRON DOLLY GIRL,3974.28
PINK FLORAL FELTCRAFT SHOULDER BAG,3968.63
HOME SWEET HOME BLACKBOARD,3965.03
SET OF 3 CAKE TINS SKETCHBOOK,3942.82
MEDIUM CERAMIC TOP STORAGE JAR,3937.09
HEART SHAPED HOLLY WREATH,3929.03
POPPY'S PLAYHOUSE KITCHEN,3889.61
VINTAGE CHRISTMAS CAKE FRILL,3879.45
